user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
all_samples_bin.173.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	N/A	N/A	N/A	N/A	N/A	GCA_900763995.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900763995	79.41	0.35	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_900764755.1, s__Lawsonibacter sp900764755, 95.0, 80.04, 0.35; GCA_902363045.1, s__Lawsonibacter sp902363045, 95.0, 80.03, 0.34; GCA_003573975.1, s__Lawsonibacter sp900066825, 95.0, 79.82, 0.36; GCA_900754605.1, s__Lawsonibacter sp900754605, 95.0, 79.68, 0.25; GCF_003478995.1, s__Lawsonibacter sp003478995, 95.0, 79.23, 0.35; GCF_002160305.1, s__Lawsonibacter pullicola, 95.0, 79.14, 0.29; GCF_014287875.1, s__Lawsonibacter sp014287875, 95.0, 79.08, 0.35; GCA_902362775.1, s__Lawsonibacter sp900066645, 95.0, 78.87, 0.33; GCF_008727735.1, s__Lawsonibacter sp000177015, 95.0, 78.82, 0.31; GCF_016899775.1, s__Lawsonibacter sp900545895, 95.0, 78.81, 0.27; GCA_905205085.1, s__Lawsonibacter sp900766145, 95.0, 78.76, 0.26; GCA_900550705.1, s__Lawsonibacter sp900550705, 95.0, 78.76, 0.34; GCF_002161175.1, s__Lawsonibacter sp002161175, 95.0, 78.69, 0.32; GCA_910588635.1, s__Lawsonibacter sp910588635, 95.0, 78.66, 0.31; GCA_900553135.1, s__Lawsonibacter sp900553135, 95.0, 78.63, 0.24; GCA_003612335.1, s__Lawsonibacter sp003612335, 95.0, 78.53, 0.28; GCA_900549405.1, s__Lawsonibacter sp900549405, 95.0, 78.51, 0.29; GCA_003112755.1, s__Lawsonibacter asaccharolyticus, 95.0, 78.48, 0.32; GCA_000492175.1, s__Lawsonibacter sp000492175, 95.0, 78.48, 0.33; GCA_910584605.1, s__Lawsonibacter sp910584605, 95.0, 78.48, 0.28; GCA_910575265.1, s__Lawsonibacter sp910575265, 95.0, 78.42, 0.33; GCA_910589085.1, s__Lawsonibacter sp910589085, 95.0, 78.4, 0.27; GCA_910585815.1, s__Lawsonibacter sp910585815, 95.0, 78.34, 0.31; GCF_009911595.1, s__Lawsonibacter sp009911595, 95.0, 78.34, 0.3; GCA_910578735.1, s__Lawsonibacter sp910578735, 95.0, 78.3, 0.31; GCA_009917615.1, s__Lawsonibacter sp009917615, 95.0, 78.25, 0.28; GCA_017624915.1, s__Lawsonibacter sp017624915, 95.0, 78.21, 0.23; GCA_015067885.1, s__Lawsonibacter sp015067885, 95.0, 78.13, 0.2; GCF_009911645.1, s__Lawsonibacter sp009911645, 95.0, 78.13, 0.3; GCA_017397835.1, s__Lawsonibacter sp017397835, 95.0, 78.01, 0.18; GCA_017416685.1, s__Lawsonibacter sp017416685, 95.0, 78.0, 0.2; GCA_910577805.1, s__Lawsonibacter sp910577805, 95.0, 77.95, 0.17; GCA_904420465.1, s__Lawsonibacter sp904420465, 95.0, 77.91, 0.29; GCA_017631545.1, s__Lawsonibacter sp017631545, 95.0, 77.79, 0.23; GCA_015068065.1, s__Lawsonibacter sp015068065, 95.0, 77.47, 0.19; GCA_017502285.1, s__Lawsonibacter sp017502285, 95.0, 77.44, 0.23; GCA_905215425.1, s__Lawsonibacter sp905215425, 95.0, 77.17, 0.15; GCA_910588455.1, s__Lawsonibacter sp910588455, 95.0, 77.16, 0.19	86.93	11	0.9630508333249265	N/A
all_samples_bin.174.fa	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__MGBC107952;s__	N/A	N/A	N/A	N/A	N/A	GCA_910578855.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__MGBC107952;s__MGBC107952 sp910578855	78.08	0.29	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__MGBC107952;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	86.0	11	0.9462052673045946	N/A
all_samples_bin.175.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium thermobutyricum	GCF_002050515.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium thermobutyricum	97.38	0.97	GCF_002050515.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium thermobutyricum	97.38	0.97	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_017873235.1, s__Clostridium moniliforme, 95.0, 78.7, 0.4; GCF_000498355.1, s__Clostridium sp000498355, 95.0, 78.59, 0.46; GCF_000789395.1, s__Clostridium baratii, 95.0, 78.45, 0.48; GCF_016907995.1, s__Clostridium sardiniense, 95.0, 78.28, 0.44; GCF_015234215.1, s__Clostridium sp015234215, 95.0, 77.73, 0.39; GCA_015058405.1, s__Clostridium sp015058405, 95.0, 77.64, 0.26; GCF_002327185.1, s__Clostridium chauvoei, 95.0, 77.48, 0.3; GCA_015058375.1, s__Clostridium sp015058375, 95.0, 77.43, 0.2; GCA_017435645.1, s__Clostridium sp017435645, 95.0, 77.4, 0.25; GCA_900543325.1, s__Clostridium sp900543325, 95.0, 77.36, 0.24; GCA_902785295.1, s__Clostridium sp902785295, 95.0, 77.33, 0.25; GCA_900547475.1, s__Clostridium sp900547475, 95.0, 77.31, 0.26; GCA_900317445.1, s__Clostridium sp900317445, 95.0, 77.29, 0.21; GCF_000401215.1, s__Clostridium sartagoforme_A, 95.0, 77.29, 0.28; GCA_015058525.1, s__Clostridium butyricum_A, 95.0, 77.27, 0.19; GCA_900766315.1, s__Clostridium sp900766315, 95.0, 77.25, 0.27; GCF_003606265.1, s__Clostridium septicum, 95.0, 77.24, 0.34; GCF_900116755.1, s__Clostridium sp900116755, 95.0, 77.23, 0.26; GCF_015667795.1, s__Clostridium sp015667795, 95.0, 77.19, 0.3; GCF_900290265.1, s__Clostridium cagae, 95.0, 77.18, 0.29; GCA_900540255.1, s__Clostridium sp900540255, 95.0, 77.18, 0.24; GCF_000320405.1, s__Clostridium celatum, 95.0, 77.13, 0.27; GCA_910588715.1, s__Clostridium sp910588715, 95.0, 77.12, 0.27; GCF_017873245.1, s__Clostridium tertium, 95.0, 77.12, 0.31; GCF_014836325.1, s__Clostridium sp014836325, 95.0, 77.09, 0.28; GCA_900759995.1, s__Clostridium sp900759995, 95.0, 77.09, 0.23; GCF_004353185.1, s__Clostridium cuniculi, 95.0, 77.09, 0.31; GCF_015555905.1, s__Clostridium sp015555905, 95.0, 77.09, 0.27; GCA_018372555.1, s__Clostridium sp018372555, 95.0, 77.09, 0.19; GCF_000827935.1, s__Clostridium botulinum_A, 95.0, 77.07, 0.32; GCF_018918325.1, s__Clostridium sp018918325, 95.0, 77.07, 0.2; GCF_012843905.1, s__Clostridium sp012843905, 95.0, 77.05, 0.24; GCA_018372875.1, s__Clostridium sp018372875, 95.0, 77.02, 0.27; GCA_000435835.1, s__Clostridium sp000435835, 95.0, 77.02, 0.23; GCF_900447045.1, s__Clostridium paraputrificum, 95.0, 77.02, 0.27; GCF_001405015.1, s__Clostridium disporicum, 95.0, 77.0, 0.23; GCF_001735765.2, s__Clostridium taeniosporum, 95.0, 76.98, 0.32; GCF_000577815.1, s__Clostridium saudiense, 95.0, 76.96, 0.26; GCF_006742065.1, s__Clostridium butyricum, 95.0, 76.96, 0.25; GCA_012519155.1, s__Clostridium sp012519155, 95.0, 76.94, 0.18; GCA_900539375.1, s__Clostridium sp900539375, 95.0, 76.94, 0.29; GCF_000473995.1, s__Clostridium saccharobutylicum, 95.0, 76.93, 0.27; GCA_017383505.1, s__Clostridium sp017383505, 95.0, 76.91, 0.24; GCA_017888565.1, s__Clostridium sp017888565, 95.0, 76.91, 0.31; GCF_015670405.1, s__Clostridium sp015670405, 95.0, 76.89, 0.26; GCA_000753455.2, s__Clostridium sp000753455, 95.0, 76.88, 0.26; GCF_900112485.1, s__Clostridium uliginosum, 95.0, 76.88, 0.27; GCF_015550425.1, s__Clostridium sp015550425, 95.0, 76.86, 0.34; GCF_001458595.1, s__Clostridium neonatale, 95.0, 76.85, 0.27; GCF_007115085.1, s__Clostridium sp007115085, 95.0, 76.84, 0.23; GCF_014287815.1, s__Clostridium sp001916075, 95.0, 76.84, 0.22; GCA_012520205.1, s__Clostridium sp012520205, 95.0, 76.82, 0.18; GCF_900086595.1, s__Clostridium nigeriense, 95.0, 76.8, 0.29; GCF_004794105.1, s__Clostridium sartagoforme_B, 95.0, 76.8, 0.27; GCA_003129525.1, s__Clostridium beijerinckii_D, 95.0, 76.78, 0.24; GCA_015058475.1, s__Clostridium butyricum_B, 95.0, 76.77, 0.2; GCF_900104115.1, s__Clostridium gasigenes, 95.0, 76.76, 0.27; GCA_900769625.1, s__Clostridium sp900769625, 95.0, 76.72, 0.19; GCF_009928485.1, s__Clostridium sp009928485, 95.0, 76.62, 0.28; GCF_000340885.1, s__Clostridium saccharoperbutylacetonicum, 95.0, 76.55, 0.25; GCA_003539755.1, s__Clostridium sp003539755, 95.0, 76.53, 0.2; GCF_018918055.1, s__Clostridium sp018918055, 95.0, 76.51, 0.2; GCF_002285495.1, s__Clostridium isatidis, 95.0, 76.51, 0.22; GCF_002760435.1, s__Clostridium sp002760435, 95.0, 76.48, 0.26; GCA_012519845.1, s__Clostridium sp012519845, 95.0, 76.47, 0.23; GCF_000230835.1, s__Clostridium sp000230835, 95.0, 76.46, 0.25; GCF_002995745.1, s__Clostridium vincentii, 95.0, 76.38, 0.18; GCF_002006345.1, s__Clostridium puniceum, 95.0, 76.33, 0.29; GCF_000621745.1, s__Clostridium beijerinckii_A, 95.0, 76.29, 0.23; GCF_002029255.1, s__Clostridium chromiireducens, 95.0, 76.27, 0.21; GCF_018223745.1, s__Clostridium beijerinckii, 95.0, 76.18, 0.23	62.33	11	N/A	N/A
all_samples_bin.176.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_AH;s__Clostridium_AH fallax	GCF_900129365.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_AH;s__Clostridium_AH fallax	99.64	0.92	GCF_900129365.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_AH;s__Clostridium_AH fallax	99.64	0.92	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	84.37	11	N/A	N/A
all_samples_bin.177.fa	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A varium	GCF_900637705.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A varium	98.69	0.89	GCF_900637705.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A varium	98.69	0.89	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002356455.1, s__Fusobacterium_A varium_A, 95.0, 89.89, 0.85; GCF_900683735.1, s__Fusobacterium_A ulcerans_A, 95.0, 88.64, 0.84; GCF_003019675.1, s__Fusobacterium_A ulcerans, 95.0, 88.0, 0.8; GCA_900543175.1, s__Fusobacterium_A sp900543175, 95.0, 80.09, 0.51; GCA_900555845.1, s__Fusobacterium_A sp900555845, 95.0, 79.63, 0.62; GCA_905193685.1, s__Fusobacterium_A sp900555485, 95.0, 78.63, 0.41; GCF_000158195.2, s__Fusobacterium_A mortiferum, 95.0, 78.39, 0.36; GCF_014337255.1, s__Fusobacterium_A sp900015295, 95.0, 78.36, 0.36; GCF_900450765.1, s__Fusobacterium_A necrogenes, 95.0, 78.16, 0.36; GCA_019012925.1, s__Fusobacterium_A sp019012925, 95.0, 78.16, 0.33; GCA_900764925.1, s__Fusobacterium_A sp900764925, 95.0, 78.12, 0.35; GCF_016900045.1, s__Fusobacterium_A sp900549465, 95.0, 78.04, 0.37; GCF_018205345.1, s__Fusobacterium_A sp018205345, 95.0, 78.02, 0.28	81.24	11	N/A	N/A
all_samples_bin.178.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Merdivicinus;s__	N/A	N/A	N/A	N/A	N/A	GCA_905214265.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Merdivicinus;s__Merdivicinus sp905214265	79.2	0.41	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Merdivicinus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_900555435.1, s__Merdivicinus sp900555435, 95.0, 78.72, 0.27; GCA_018716285.1, s__Merdivicinus faecavium, 95.0, 77.59, 0.17; GCA_018713245.1, s__Merdivicinus intestinavium, 95.0, 77.46, 0.17; GCA_018713335.1, s__Merdivicinus intestinigallinarum, 95.0, 77.44, 0.22; GCA_018716725.1, s__Merdivicinus excrementipullorum, 95.0, 77.39, 0.2	84.83	11	0.9741420097540209	N/A
all_samples_bin.179.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Faecaligallichristensenella;s__	N/A	N/A	N/A	N/A	N/A	GCA_018716505.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Faecaligallichristensenella;s__Faecaligallichristensenella faecipullorum	82.62	0.76	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Faecaligallichristensenella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	61.04	11	0.9632136503119249	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
all_samples_bin.18.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Asaccharospora;s__Asaccharospora irregularis	GCF_900129815.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Asaccharospora;s__Asaccharospora irregularis	98.95	0.89	GCF_900129815.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Asaccharospora;s__Asaccharospora irregularis	98.95	0.89	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	93.07	11	N/A	N/A
all_samples_bin.180.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	79.03	11	0.8495741196806463	N/A
all_samples_bin.181.fa	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__	N/A	N/A	N/A	N/A	N/A	GCF_003226895.2	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__Kocuria tytonis	92.57	0.9	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_003687455.1, s__Kocuria tytonicola, 95.0, 88.06, 0.84; GCF_000010285.1, s__Kocuria rhizophila_A, 95.0, 86.9, 0.89; GCF_003667225.1, s__Kocuria rhizophila, 95.0, 86.8, 0.82; GCF_006539885.1, s__Kocuria varians, 95.0, 85.32, 0.82; GCF_007681555.1, s__Kocuria salsicia, 95.0, 85.07, 0.83; GCF_000786655.1, s__Kocuria marina_A, 95.811, 84.2, 0.78; GCA_014652975.1, s__Kocuria marina, 95.811, 84.12, 0.78; GCF_004136555.1, s__Kocuria carniphila, 95.0, 80.34, 0.59; GCA_000286355.1, s__Kocuria atrinae, 95.0, 80.12, 0.53; GCF_006094695.1, s__Kocuria rosea, 95.0, 80.04, 0.54; GCF_001580365.1, s__Kocuria turfanensis, 95.0, 80.0, 0.55; GCF_014636775.1, s__Kocuria dechangensis, 95.0, 79.96, 0.55; GCF_001483755.1, s__Kocuria polaris_A, 95.0, 79.95, 0.54; GCF_014698015.1, s__Kocuria sp014698015, 95.0, 79.93, 0.58; GCF_001482365.1, s__Kocuria flava, 95.0, 79.65, 0.55; GCF_007666205.1, s__Kocuria palustris_A, 95.0, 79.43, 0.41; GCF_016907795.1, s__Kocuria palustris, 95.0, 79.35, 0.43; GCF_008831305.1, s__Kocuria coralli, 95.0, 79.02, 0.39; GCF_003797835.1, s__Kocuria soli, 95.0, 78.75, 0.37; GCF_012163155.1, s__Kocuria subflava, 95.0, 78.4, 0.33	88.84	11	0.9952635374989348	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
all_samples_bin.182.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__	N/A	N/A	N/A	N/A	N/A	GCF_900104635.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas phoceensis	83.07	0.82	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_900551895.1, s__Faecalimonas sp900551895, 95.0, 78.01, 0.22; GCA_017472665.1, s__Faecalimonas sp017472665, 95.0, 77.81, 0.14; GCA_017410145.1, s__Faecalimonas sp017410145, 95.0, 77.7, 0.1; GCA_902381685.1, s__Faecalimonas sp000209385, 95.0, 77.69, 0.22; GCA_905197485.1, s__Faecalimonas sp900555395, 95.0, 77.58, 0.16; GCA_017465565.1, s__Faecalimonas sp017465565, 95.0, 77.45, 0.18; GCA_900550235.1, s__Faecalimonas sp900550235, 95.0, 77.4, 0.17; GCA_017416155.1, s__Faecalimonas sp017416155, 95.0, 77.22, 0.15; GCA_900546325.1, s__Faecalimonas sp900546325, 95.0, 77.15, 0.17; GCF_004346095.1, s__Faecalimonas umbilicata, 95.0, 77.03, 0.21; GCA_900316755.1, s__Faecalimonas sp900316755, 95.0, 76.81, 0.17; GCA_900556835.1, s__Faecalimonas sp900556835, 95.0, 76.67, 0.14	43.09	11	0.9763791731560892	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
all_samples_bin.183.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Morganella;s__Morganella morganii	GCF_019243775.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Morganella;s__Morganella morganii	98.57	0.88	GCF_019243775.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Morganella;s__Morganella morganii	98.57	0.88	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Morganella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000633515.1, s__Morganella morganii_B, 95.0, 94.45, 0.86; GCF_019242955.1, s__Morganella morganii_A, 95.0, 92.64, 0.84; GCF_003996855.1, s__Morganella morganii_C, 95.0, 92.53, 0.8; GCF_001676055.1, s__Morganella psychrotolerans_B, 95.0, 84.13, 0.79; GCF_001676155.1, s__Morganella psychrotolerans, 95.0, 84.07, 0.78	59.31	11	N/A	N/A
all_samples_bin.184.fa	d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasma_L;s__	N/A	N/A	N/A	N/A	N/A	GCA_904501665.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasma_L;s__Mycoplasma_L sp904501665	78.14	0.27	d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasma_L;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_009884515.1, s__Mycoplasma_L liparidae, 95.0, 77.29, 0.07	73.85	4	0.9503395950036373	N/A
all_samples_bin.185.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Copromonas;s__	N/A	N/A	N/A	N/A	N/A	GCA_014385265.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Copromonas;s__Copromonas sp000435795	91.93	0.84	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Copromonas;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_905215775.1, s__Copromonas sp905215775, 95.0, 88.27, 0.84; GCF_003480435.1, s__Copromonas sp900066055, 95.0, 78.64, 0.23; GCA_017556515.1, s__Copromonas sp017556515, 95.0, 78.37, 0.13; GCF_003435375.1, s__Copromonas sp900066535, 95.0, 78.36, 0.26; GCA_018223415.1, s__Copromonas sp900541255, 95.0, 78.31, 0.33; GCA_910586315.1, s__Copromonas sp910586315, 95.0, 78.24, 0.34; GCA_017482945.1, s__Copromonas sp017482945, 95.0, 78.18, 0.2; GCA_910585355.1, s__Copromonas sp910585355, 95.0, 78.14, 0.32; GCF_003478035.1, s__Copromonas sp900066785, 95.0, 78.11, 0.25; GCA_017380975.1, s__Copromonas sp017380975, 95.0, 77.88, 0.19; GCA_018712915.1, s__Copromonas faecavium, 95.0, 77.79, 0.28; GCA_018713185.1, s__Copromonas avistercoris, 95.0, 77.77, 0.28; GCA_900556965.1, s__Copromonas sp900556965, 95.0, 77.72, 0.27; GCA_015057755.1, s__Copromonas sp015057755, 95.0, 77.71, 0.15; GCA_009917545.1, s__Copromonas sp009917545, 95.0, 77.48, 0.21; GCA_910575275.1, s__Copromonas sp910575275, 95.0, 77.26, 0.23; GCA_017435025.1, s__Copromonas sp017435025, 95.0, 77.12, 0.15	92.32	11	0.9974141206204507	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
